ENTITY	Historic currency	Alphabetic Code	Numeric Code	Funds	Withdrawal Date
AFGHANISTAN	Afghani	AFA	004		2003-01
LAND ISLANDS	Markka	FIM	246		2002-03
ALBANIA	Old Lek	ALK			1989-12
ANDORRA	Andorran Peseta	ADP	020		2003-07
ANDORRA	Spanish Peseta	ESP	724		2002-03
ANDORRA	French Franc	FRF	250		2002-03
ANGOLA	Kwanza	AOK			1991-03
ANGOLA	New Kwanza	AON	024		2000-02
ANGOLA	Kwanza Reajustado	AOR	982		2000-02
ARGENTINA	Austral	ARA	032		1992-01
ARGENTINA	Peso Argentino	ARP	032		1985-07
ARGENTINA	Peso	ARY			1989 to 1990
ARMENIA	Russian Ruble	RUR	810		1994-08
AUSTRIA	Schilling	ATS	040		2002-03
AZERBAIJAN	Azerbaijan Manat	AYM	945		2005-10
AZERBAIJAN	Azerbaijanian Manat	AZM	031		2005-12
AZERBAIJAN	Russian Ruble	RUR	810		1994-08
BELARUS	Belarussian Ruble	BYB	112		2001-01
BELARUS	Russian Ruble	RUR	810		1994-06
BELGIUM	Convertible Franc	BEC	993		1990-03
BELGIUM	Belgian Franc	BEF	056		2002-03
BELGIUM	Financial Franc	BEL	992		1990-03
BOLIVIA	Peso boliviano	BOP			1987-02
BOSNIA AND HERZEGOVINA	Dinar	BAD	070		1997-07
BRAZIL	Cruzeiro	BRB			1986-03
BRAZIL	Cruzado	BRC	076		1989-02
BRAZIL	Cruzeiro	BRE	076		1993-03
BRAZIL	New Cruzado	BRN	076		1990-03
BRAZIL	Cruzeiro Real	BRR	987		1994-07
BULGARIA	Lev A/52	BGJ			1989 to 1990
BULGARIA	Lev A/62	BGK			1989 to 1990
BULGARIA	Lev	BGL	100		2003-11
BURMAÊ	N.A.	BUK			1990-02
CHINA	Peoples Bank Dollar	CNX			1989-12
CROATIA	Croatian Dinar	HRD	191		1995-01
CYPRUS	Cyprus Pound	CYP	196		2008-01
CZECHOSLOVAKIA	Krona A/53	CSJ			1989 to 1990
CZECHOSLOVAKIA	Koruna	CSK	200		1993-03
ECUADOR	Sucre	ECS	218		2000-09
ECUADOR	Unidad de Valor Constante (UVC)	ECV	983		2000-09
EQUATORIAL GUINEA	Ekwele	EQE			1989-12
EQUATORIAL GUINEA	Ekwele	GQE	226		1986-06
ESTONIA	Kroon	EEK	233		2011-01
EUROPEAN MONETARY CO-OPERATION FUND (EMCF)	European Currency Unit (E.C.U)	XEU	954		1999-01
FINLAND	Markka	FIM	246		2002-03
FRANCE	French Franc	FRF	250		2002-03
FRENCH  GUIANA	French Franc	FRF	250		2002-03
FRENCH SOUTHERN TERRITORIES	French Franc	FRF	250		2002-03
GEORGIA	Georgian Coupon	GEK	268		1995-10
GEORGIA	Russian Ruble	RUR	810		1994-04
GERMAN DEMOCRATIC REPUBLIC	Mark der DDR	DDM	278		1990-07 to 1990-09
GERMANY	Deutsche Mark	DEM	276		2002-03
GHANA	Cedi	GHC	288		2008-01
GHANA	Ghana Cedi	GHP	939		2007-06
GREECE	Drachma	GRD	300		2002-03
GUADELOUPE	French Franc	FRF	250		2002-03
GUINEA	Syli	GNE			1989-12
GUINEA	Syli	GNS			1986-02
GUINEA-BISSAU	Guinea Escudo	GWE			1978 to 1981
GUINEA-BISSAU	Guinea-Bissau Peso	GWP	624		1997-05
HOLY SEE (VATICAN CITY STATE)	Italian Lira	ITL	380		2002-03
ICELAND	Old Krona	ISJ			1989 to 1990
IRELAND	Irish Pound	IEP	372		2002-03
ISRAEL	Pound	ILP			1978 to 1981
ISRAEL	Old Shekel	ILR			1989 to 1990
ITALY	Italian Lira	ITL	380		2002-03
KAZAKHSTAN	Russian Ruble	RUR	810		1994-05
KYRGYZSTAN	Russian Ruble	RUR	810		1993-01
LAO	Kip Pot Pol	LAJ			1989-12
LATVIA	Latvian Lats	LVL	428	 	2014-01
LATVIA	Latvian Ruble	LVR	428		1994-12
LESOTHO	Maloti	LSM			1985-05
LESOTHO	Financial Rand	ZAL	991		1995-03
LITHUANIA	Lithuanian Litas	LTL	440	 	2014-12
